"File	Split into parts",Parts,Articles Added,Cover Added,Issue staged,Issue published
"jitp_v01-1_1992.pdf	",X,,,,
"jitp_v01-2_1992.pdf	",X,,,,
"jitp_v02-1_1993.pdf	",X,,,,
"jitp_v02-2_1993.pdf	",X,,,,
"jitp_v03-1_1994.pdf	",X,,,,
"jitp_v03-2_1994.pdf	",X,,,,
"jitp_v04-1_1996.pdf	",X,,,,
"jitp_v04-2_1997.pdf	",X,,,,
"jitp_v05-1_1998.pdf	",X,,,,
"jitp_v05-2_1998.pdf	",X,,,,
"jitp_v06-1_1999.pdf	",X,,,,
"jitp_v06-2_1999.pdf	",X,,,,
"jitp_v07-1_2000.pdf	",X,,,,
"jitp_v07-2_2001.pdf	",X,,,,
"jitp_v08_2002.pdf	",X,,,,
"jitp_v09_2003.pdf	",X,,,,
"jitp_v10_2004.pdf	",X,,,,
"jitp_v11_2005.pdf	",X,,,,
"jitp_v12_2006.pdf	",,,,,
"jitp_v13_2007.pdf	",,,,,
"jitp_v14_2008.pdf	",,,,,
"jitp_v15_2009.pdf	",,,,,
"jitp_v16_2010.pdf	",,,,,
"jitp_v17_2011.pdf	",,,,,
"jitp_v18_2012.pdf	",,,,,
"jitp_v19_2013.pdf	",,,,,
"jitp_v20_2014.pdf	",,,,,
"jitp_v21_2015.pdf	",,,,,
"jitp_v22_2016.pdf	",,,,,
"jitp_v23_2017.pdf	",,,,,
"jitp_v24_2018.pdf	",,,,,
"jitp_v25_2019.pdf	",X,,,,
jitp_v26_2020,X,X,X,X,X
